840	33.227	18.727
843	33.225	18.725
846	33.223	18.724
849	33.221	18.723
852	33.219	18.722
855	33.217	18.721
858	33.215	18.72
861	33.214	18.719
864	33.212	18.717
867	33.21	18.716
870	33.209	18.715
873	33.207	18.714
876	33.206	18.713
879	33.204	18.712
882	33.203	18.711
885	33.202	18.71
888	33.2	18.709
891	33.199	18.708
894	33.198	18.707
897	33.197	18.706
900	33.196	18.706
903	33.194	18.705
906	33.193	18.704
909	33.192	18.703
912	33.191	18.702
915	33.19	18.701
918	33.189	18.7
921	33.188	18.7
924	33.187	18.699
927	33.187	18.698
930	33.186	18.697
933	33.185	18.696
936	33.184	18.696
939	33.183	18.695
942	33.182	18.694
945	33.182	18.693
948	33.181	18.693
951	33.18	18.692
954	33.18	18.691
957	33.179	18.691
960	33.178	18.69
963	33.178	18.689
966	33.177	18.689
969	33.177	18.688
972	33.176	18.687
975	33.175	18.687
978	33.175	18.686
981	33.174	18.686
984	33.174	18.685
987	33.173	18.684
990	33.173	18.684
993	33.173	18.683
996	33.172	18.683
999	33.172	18.702
1002	33.171	18.761
1005	33.171	18.819
1008	33.17	18.876
1011	33.17	18.932
1014	33.17	18.988
1017	33.169	19.042
1020	33.169	19.096
1023	33.169	19.149
1026	33.168	19.201
1029	33.168	19.252
1032	33.168	19.303
1035	33.167	19.353
1038	33.167	19.402
1041	33.167	19.45
1044	33.167	19.498
1047	33.166	19.545
1050	33.166	19.591
1053	33.166	19.636
1056	33.166	19.681
1059	33.165	19.725
1062	33.165	19.769
1065	33.165	19.812
1068	33.165	19.854
1071	33.165	19.896
1074	33.164	19.937
1077	33.164	19.977
1080	33.164	20.017
1083	33.164	20.056
1086	33.164	20.095
1089	33.163	20.133
1092	33.163	20.17
1095	33.163	20.207
1098	33.163	20.244
1101	33.163	20.28
1104	33.163	20.315
1107	33.162	20.35
1110	33.162	20.384
1113	33.162	20.418
1116	33.162	20.452
1119	33.162	20.485
1122	33.162	20.517
1125	33.162	20.549
1128	33.162	20.58
1131	33.161	20.611
1134	33.161	20.642
1137	33.161	20.672
1140	33.161	20.702
1143	33.161	20.731
1146	33.161	20.76
1149	33.161	20.788
1152	33.161	20.816
1155	33.161	20.844
1158	33.161	20.871
1161	33.161	20.898
1164	33.16	20.924
1167	33.16	20.951
1170	33.16	20.976
1173	33.16	21.002
1176	33.16	21.026
1179	33.16	21.051
1182	33.16	21.075
1185	33.16	21.099
1188	33.16	21.123
1191	33.16	21.146
1194	33.16	21.169
1197	33.16	21.191
1200	33.16	21.214
1203	33.16	21.236
1206	33.16	21.257
1209	33.16	21.279
1212	33.159	21.3
1215	33.159	21.32
1218	33.159	21.341
1221	33.159	21.361
1224	33.159	21.381
1227	33.159	21.4
1230	33.159	21.419
1233	33.159	21.438
1236	33.159	21.457
1239	33.159	21.476
1242	33.159	21.494
1245	33.159	21.512
1248	33.159	21.529
1251	33.159	21.547
1254	33.159	21.564
1257	33.159	21.581
1260	33.159	21.598
1263	33.159	21.614
1266	33.159	21.63
1269	33.141	21.646
1272	33.091	21.662
1275	33.042	21.678
1278	32.995	21.693
1281	32.95	21.708
1284	32.906	21.723
1287	32.864	21.738
1290	32.823	21.752
1293	32.784	21.767
1296	32.746	21.781
1299	32.71	21.795
1302	32.674	21.808
1305	32.64	21.822
1308	32.608	21.835
1311	32.576	21.848
1314	32.545	21.861
1317	32.516	21.874
1320	32.487	21.887
1323	32.46	21.899
1326	32.433	21.911
1329	32.407	21.923
1332	32.382	21.935
1335	32.358	21.947
1338	32.335	21.958
1341	32.313	21.97
1344	32.291	21.981
1347	32.27	21.992
1350	32.25	22.003
1353	32.23	22.014
1356	32.211	22.024
1359	32.193	22.035
1362	32.175	22.045
1365	32.158	22.055
1368	32.141	22.066
1371	32.125	22.075
1374	32.11	22.085
